date;vac_statut;age;nb_PCR;nb_PCR+;HC;HC_PCR+;SC;SC_PCR+;effectif J-7
2021-06-22;Non-vaccinés;"[80;+]";6089;69;19;12;4;3;878147
2021-06-23;Non-vaccinés;[0,19];24621;420;6;2;0;0;15425689
2021-06-23;Non-vaccinés;[60,79];15273;174;28;20;11;9;2889696
2021-06-24;Non-vaccinés;[20,39];44438;657;21;17;4;3;9470054
2021-06-27;Non-vaccinés;[40,59];5070;77;25;19;7;7;6900935
2021-06-28;Non-vaccinés;[60,79];23511;228;31;20;9;6;2796673
2021-06-29;Non-vaccinés;[40,59];28364;403;22;15;4;4;6781669
2021-06-29;Non-vaccinés;[60,79];17209;190;34;24;9;5;2774197
2021-06-29;Non-vaccinés;"[80;+]";5831;67;20;11;1;1;854446
2021-06-30;Non-vaccinés;[0,19];34825;488;5;2;1;0;15059285
2021-06-30;Non-vaccinés;[20,39];41986;876;17;13;2;1;9009973
2021-07-01;Non-vaccinés;[20,39];48842;911;18;14;3;3;8920112
2021-07-01;Non-vaccinés;[40,59];31877;401;19;11;5;3;6649892
2021-07-01;Non-vaccinés;[60,79];12849;164;26;20;5;3;2729357
2021-07-01;Non-vaccinés;"[80;+]";4281;30;6;3;1;0;846704
2021-07-02;Non-vaccinés;[0,19];47173;540;5;2;1;1;14961761
2021-07-03;Non-vaccinés;[20,39];30556;570;13;11;4;3;8785346
2021-07-03;Non-vaccinés;[40,59];22663;250;9;7;4;4;6536935
2021-07-04;Non-vaccinés;"[80;+]";1812;15;2;1;2;1;840538
2021-07-06;Non-vaccinés;[40,59];31780;570;22;15;7;6;6429127
2021-07-07;Non-vaccinés;[60,79];14546;220;25;15;9;5;2641374
2021-07-08;Non-vaccinés;[0,19];47789;731;6;4;1;0;14716120
2021-07-08;Non-vaccinés;[60,79];12842;162;27;21;8;7;2617217
2021-07-08;Non-vaccinés;"[80;+]";4361;39;10;8;0;0;827782
2021-07-09;Non-vaccinés;[0,19];56205;878;3;2;3;2;14667995
2021-07-09;Non-vaccinés;[20,39];58773;1707;22;18;3;2;8417082
2021-07-10;Non-vaccinés;[20,39];33032;853;16;14;2;1;8367924
2021-07-10;Non-vaccinés;[60,79];10993;123;18;12;6;6;2583887
2021-07-10;Non-vaccinés;"[80;+]";3453;36;7;5;3;2;822166
2021-07-11;Non-vaccinés;[40,59];6320;140;22;21;9;7;6187400
2021-07-11;Non-vaccinés;[60,79];3423;51;22;13;6;4;2581141
2021-07-12;Non-vaccinés;[60,79];17753;286;25;19;12;10;2564664
2021-07-13;Non-vaccinés;[0,19];41289;1403;11;9;1;1;14536721
2021-07-13;Non-vaccinés;[20,39];54550;2858;33;23;4;3;8217709
2021-07-13;Non-vaccinés;"[80;+]";5785;68;16;13;2;1;815890
2021-07-14;Non-vaccinés;[20,39];13459;675;19;16;2;2;8146991
2021-07-15;Non-vaccinés;[0,19];49716;1982;7;2;0;0;14436252
2021-07-16;Non-vaccinés;[40,59];40887;1481;43;30;13;9;5884084
2021-07-17;Non-vaccinés;[20,39];35290;2373;36;30;5;4;7933409
2021-07-17;Non-vaccinés;[40,59];23866;837;34;24;12;10;5836654
2021-07-17;Non-vaccinés;"[80;+]";3427;38;24;16;2;2;802058
2021-07-19;Non-vaccinés;[0,19];42508;3421;12;7;3;1;14310507
2021-07-19;Non-vaccinés;[20,39];63976;7323;48;35;3;3;7846840
2021-07-19;Non-vaccinés;"[80;+]";7194;123;25;15;3;3;799114
2021-07-20;Non-vaccinés;"[80;+]";6451;134;33;19;6;4;794917
2021-07-22;Non-vaccinés;[0,19];44938;3419;16;6;1;0;14142823
2021-07-22;Non-vaccinés;[60,79];15789;664;50;42;15;14;2370533
2021-07-23;Non-vaccinés;[20,39];95448;7323;63;45;11;9;7362290
2021-07-23;Non-vaccinés;"[80;+]";5870;138;23;14;3;2;783778
2021-07-24;Non-vaccinés;"[80;+]";3609;92;40;25;2;2;781376
2021-07-25;Non-vaccinés;[0,19];7512;541;20;9;2;2;13998668
2021-07-26;Non-vaccinés;[40,59];50700;4444;95;70;27;21;5256083
2021-07-26;Non-vaccinés;[60,79];23298;1197;89;59;27;20;2286837
2021-07-27;Non-vaccinés;"[80;+]";7150;215;58;39;3;3;772878
2021-07-28;Non-vaccinés;[0,19];37134;3991;20;9;4;2;13791921
2021-07-29;Non-vaccinés;[20,39];76528;7737;98;77;24;18;6569638
2021-07-30;Non-vaccinés;[0,19];57248;4148;16;6;3;3;13633397
2021-07-30;Non-vaccinés;[60,79];18800;1031;109;72;40;34;2143932
2021-07-31;Non-vaccinés;[20,39];46218;3599;94;77;11;8;6260076
2021-07-31;Non-vaccinés;"[80;+]";3438;123;47;30;7;5;754138
2021-08-01;Non-vaccinés;[0,19];7538;566;24;8;2;1;13553625
2021-08-01;Non-vaccinés;[40,59];7096;504;117;82;47;37;4675466
2021-08-02;Non-vaccinés;[20,39];73627;10159;91;67;19;14;6056421
2021-08-02;Non-vaccinés;[40,59];49809;5294;149;117;50;41;4579742
2021-08-02;Non-vaccinés;[60,79];22089;1568;121;89;52;37;2092098
2021-08-03;Non-vaccinés;[0,19];34591;4631;27;11;3;1;13395309
2021-08-03;Non-vaccinés;[20,39];61010;7926;110;77;21;16;5861343
2021-08-04;Non-vaccinés;[0,19];32926;4154;26;16;3;3;13302078
2021-08-04;Non-vaccinés;[40,59];37663;3756;146;105;46;40;4322708
2021-08-05;Non-vaccinés;[20,39];67904;7092;91;64;35;27;5472212
2021-08-05;Non-vaccinés;[40,59];42647;3831;143;116;53;40;4185611
2021-08-05;Non-vaccinés;[60,79];15074;1173;151;100;53;45;1972255
2021-08-06;Non-vaccinés;"[80;+]";6530;300;70;53;10;8;725027
2021-08-07;Non-vaccinés;[20,39];43680;3534;86;61;19;11;5170450
2021-08-08;Non-vaccinés;[60,79];3647;243;104;68;47;35;1908250
2021-08-09;Non-vaccinés;[40,59];55471;5519;154;114;52;40;3855008
2021-08-10;Non-vaccinés;"[80;+]";8155;450;86;61;6;3;711796
2021-08-11;Non-vaccinés;"[80;+]";7498;402;77;55;13;9;706250
2021-08-12;Non-vaccinés;[20,39];74005;6722;100;77;27;18;4574903
2021-08-12;Non-vaccinés;"[80;+]";6818;362;90;53;8;5;700059
2021-08-13;Non-vaccinés;[20,39];86865;6549;110;83;23;20;4441927
2021-08-13;Non-vaccinés;[40,59];54369;3795;208;140;50;38;3438764
2021-08-15;Non-vaccinés;[60,79];3304;248;133;85;39;27;1726441
2021-08-15;Non-vaccinés;"[80;+]";1815;95;85;47;4;2;691188
2021-08-17;Non-vaccinés;[40,59];38696;3628;160;117;50;31;3206515
2021-08-17;Non-vaccinés;"[80;+]";8344;431;89;60;4;4;682392
2021-08-18;Non-vaccinés;[20,39];54389;5559;109;72;19;18;4016718
2021-08-18;Non-vaccinés;[40,59];36837;3220;177;121;66;45;3129962
2021-08-19;Non-vaccinés;[0,19];26989;3656;28;15;3;1;12301167
2021-08-19;Non-vaccinés;[40,59];40506;3076;150;98;57;39;3054303
2021-08-20;Non-vaccinés;[40,59];47403;3161;164;107;57;42;2983733
2021-08-20;Non-vaccinés;"[80;+]";6528;368;68;41;4;4;667255
2021-08-21;Non-vaccinés;[60,79];12418;645;161;102;55;43;1588307
2021-08-22;Non-vaccinés;"[80;+]";1720;104;67;43;5;5;664966
2021-08-24;Non-vaccinés;[0,19];22238;3732;30;10;0;0;12117026
2021-08-24;Non-vaccinés;[20,39];46333;5104;91;67;16;15;3606833
2021-08-24;Non-vaccinés;"[80;+]";8116;349;84;50;6;5;657605
2021-08-25;Non-vaccinés;[0,19];21427;3355;31;14;6;4;12068120
2021-08-25;Non-vaccinés;[20,39];43406;4284;85;61;12;7;3536854
2021-08-26;Non-vaccinés;[20,39];50087;4096;79;58;27;15;3468077
2021-08-26;Non-vaccinés;[40,59];33734;2373;147;96;51;35;2725963
2021-08-26;Non-vaccinés;[60,79];14768;1037;162;95;50;38;1512567
2021-08-27;Non-vaccinés;[0,19];25664;3206;26;8;3;0;11982913
2021-08-27;Non-vaccinés;[20,39];60887;4151;85;67;19;15;3402402
2021-08-27;Non-vaccinés;[40,59];40328;2490;133;83;49;35;2676249
2021-08-28;Non-vaccinés;"[80;+]";3908;158;59;40;3;2;643512
2021-08-29;Non-vaccinés;[20,39];7903;556;70;48;17;14;3351982
2021-08-29;Non-vaccinés;[40,59];5161;368;95;63;45;31;2642163
2021-06-01;Primo dose efficace;[20,39];4172;38;0;0;0;0;740682
2021-06-02;Primo dose efficace;[0,19];317;3;1;1;0;0;35909
2021-06-02;Primo dose efficace;"[80;+]";1504;22;6;5;2;0;488444
2021-06-04;Primo dose efficace;[60,79];10032;70;8;8;1;1;4466141
2021-06-05;Primo dose efficace;[0,19];289;3;1;1;0;0;58281
2021-06-05;Primo dose efficace;[20,39];3578;29;1;1;0;0;1036419
2021-06-05;Primo dose efficace;[60,79];6140;31;2;2;2;2;4501716
2021-06-05;Primo dose efficace;"[80;+]";963;17;8;8;0;0;485685
2021-06-06;Primo dose efficace;[0,19];74;2;0;0;0;0;68798
2021-06-07;Primo dose efficace;[0,19];496;6;0;0;0;0;75572
2021-06-07;Primo dose efficace;[20,39];6944;70;3;2;0;0;1189104
2021-06-08;Primo dose efficace;[40,59];9308;71;5;5;0;0;3621399
2021-06-08;Primo dose efficace;[60,79];7912;49;6;6;2;2;4487003
2021-06-09;Primo dose efficace;[40,59];9543;71;1;1;1;1;3769103
2021-06-09;Primo dose efficace;[60,79];6751;44;3;3;2;1;4454168
2021-06-10;Primo dose efficace;[20,39];9913;39;0;0;0;0;1470279
2021-06-12;Primo dose efficace;[60,79];5015;25;3;2;1;0;4294758
2021-06-13;Primo dose efficace;[0,19];76;1;0;0;0;0;144453
2021-06-14;Primo dose efficace;[20,39];8315;40;1;1;0;0;1867345
2021-06-15;Primo dose efficace;[20,39];7211;36;0;0;0;0;1937642
2021-06-15;Primo dose efficace;[40,59];8750;38;5;5;1;0;4461363
2021-06-15;Primo dose efficace;[60,79];6201;31;2;2;1;1;4064730
2021-06-16;Primo dose efficace;[60,79];5374;24;4;2;2;2;3977778
2021-06-16;Primo dose efficace;"[80;+]";1176;12;3;2;0;0;436105
2021-06-17;Primo dose efficace;[0,19];854;4;0;0;0;0;187456
2021-06-18;Primo dose efficace;"[80;+]";1070;6;3;1;0;0;418316
2021-06-19;Primo dose efficace;[20,39];6100;31;1;1;0;0;2396629
2021-06-19;Primo dose efficace;[40,59];7151;35;2;2;1;1;4869848
2021-06-20;Primo dose efficace;[0,19];133;0;0;0;0;0;229447
2021-06-20;Primo dose efficace;[20,39];1644;8;0;0;0;0;2497313
2021-06-20;Primo dose efficace;[40,59];1403;8;1;0;0;0;4975226
2021-06-20;Primo dose efficace;"[80;+]";342;3;0;0;0;0;416375
2021-06-21;Primo dose efficace;[20,39];10053;49;1;1;0;0;2519404
2021-06-22;Primo dose efficace;[20,39];8070;41;1;1;0;0;2628416
2021-06-23;Primo dose efficace;[40,59];8827;42;3;2;0;0;5068283
2021-06-23;Primo dose efficace;"[80;+]";972;6;3;2;0;0;384391
2021-06-24;Primo dose efficace;[40,59];10271;36;1;1;0;0;5138246
2021-06-24;Primo dose efficace;"[80;+]";758;6;0;0;0;0;374431
2021-06-25;Primo dose efficace;[0,19];1345;9;0;0;0;0;302345
2021-06-26;Primo dose efficace;[40,59];6937;29;0;0;0;0;5263496
2021-06-26;Primo dose efficace;[60,79];3063;11;1;1;0;0;2955059
2021-06-27;Primo dose efficace;[20,39];1572;7;0;0;0;0;3279330
2021-06-27;Primo dose efficace;[60,79];766;3;0;0;1;1;2948433
2021-06-28;Primo dose efficace;[20,39];10811;96;1;1;0;0;3293999
2021-06-29;Primo dose efficace;[40,59];8507;44;2;2;0;0;5232468
2021-06-29;Primo dose efficace;[60,79];3650;20;4;2;0;0;2639136
2021-06-30;Primo dose efficace;[20,39];12136;94;0;0;1;1;3485962
2021-06-30;Primo dose efficace;[40,59];9373;50;2;2;0;0;5213928
2021-07-01;Primo dose efficace;[0,19];2204;11;0;0;0;0;397115
2021-07-01;Primo dose efficace;"[80;+]";648;5;1;1;0;0;314710
2021-07-02;Primo dose efficace;[20,39];15050;117;0;0;0;0;3668228
2021-07-02;Primo dose efficace;"[80;+]";760;5;0;0;0;0;303357
2021-07-04;Primo dose efficace;[0,19];407;2;0;0;0;0;448049
2021-07-04;Primo dose efficace;[60,79];596;5;0;0;0;0;2224848
2021-07-06;Primo dose efficace;[20,39];10485;152;0;0;0;0;3819073
2021-07-06;Primo dose efficace;[40,59];8354;74;1;0;1;1;4885966
2021-07-06;Primo dose efficace;"[80;+]";887;7;1;1;0;0;280600
2021-07-07;Primo dose efficace;"[80;+]";830;5;2;2;0;0;273171
2021-07-08;Primo dose efficace;[0,19];4549;53;0;0;0;0;550942
2021-07-08;Primo dose efficace;[60,79];2034;17;2;2;0;0;1827468
2021-07-08;Primo dose efficace;"[80;+]";566;8;2;2;0;0;265018
2021-07-12;Primo dose efficace;"[80;+]";767;6;0;0;0;0;245293
2021-07-13;Primo dose efficace;[0,19];3899;90;1;0;0;0;728299
2021-07-13;Primo dose efficace;[20,39];11646;370;0;0;0;0;3641368
2021-07-13;Primo dose efficace;[40,59];7631;99;3;3;0;0;3979916
2021-07-13;Primo dose efficace;[60,79];2410;22;2;1;2;2;1487529
2021-07-13;Primo dose efficace;"[80;+]";825;12;1;1;0;0;235851
2021-07-14;Primo dose efficace;[60,79];473;8;1;1;0;0;1414663
2021-07-14;Primo dose efficace;"[80;+]";258;1;0;0;0;0;228837
2021-07-15;Primo dose efficace;[0,19];5559;140;0;0;0;0;797417
2021-07-15;Primo dose efficace;[20,39];13997;510;0;0;0;0;3503502
2021-07-16;Primo dose efficace;[40,59];7331;160;0;0;0;0;3484398
2021-07-16;Primo dose efficace;"[80;+]";662;5;1;1;0;0;211740
2021-07-17;Primo dose efficace;[0,19];2909;113;0;0;0;0;851151
2021-07-17;Primo dose efficace;[40,59];3886;69;1;0;1;1;3365076
2021-07-17;Primo dose efficace;[60,79];1199;16;2;1;0;0;1206575
2021-07-18;Primo dose efficace;[40,59];867;35;0;0;0;0;3339047
2021-07-18;Primo dose efficace;[60,79];353;8;1;1;0;0;1202653
2021-07-18;Primo dose efficace;"[80;+]";235;2;1;1;0;0;209701
2021-07-20;Primo dose efficace;[40,59];5394;198;0;0;0;0;3003107
2021-07-21;Primo dose efficace;[60,79];1618;33;0;0;1;1;1000712
2021-07-21;Primo dose efficace;"[80;+]";684;7;1;0;0;0;188991
2021-07-22;Primo dose efficace;[20,39];14847;731;0;0;0;0;2953517
2021-07-22;Primo dose efficace;[60,79];1503;33;2;2;1;1;937387
2021-07-23;Primo dose efficace;[0,19];6073;233;0;0;0;0;948634
2021-07-23;Primo dose efficace;[20,39];17013;727;2;2;0;0;2850567
2021-07-24;Primo dose efficace;"[80;+]";382;6;2;2;0;0;174293
2021-07-26;Primo dose efficace;[0,19];4418;239;0;0;0;0;959437
2021-07-27;Primo dose efficace;[20,39];8908;580;5;4;0;0;2447821
2021-07-27;Primo dose efficace;"[80;+]";746;7;0;0;0;0;162422
2021-07-28;Primo dose efficace;[40,59];4514;172;4;4;1;1;2118750
2021-07-29;Primo dose efficace;[0,19];4613;158;0;0;0;0;966793
2021-07-29;Primo dose efficace;"[80;+]";544;9;2;2;0;0;158136
2021-07-30;Primo dose efficace;[20,39];14658;487;1;0;0;0;2166300
2021-07-31;Primo dose efficace;[20,39];6684;251;0;0;1;1;2095371
2021-07-31;Primo dose efficace;[40,59];3741;89;1;1;0;0;1796824
2021-08-01;Primo dose efficace;[40,59];745;28;3;3;1;0;1797634
2021-08-01;Primo dose efficace;[60,79];275;9;1;1;3;3;653694
2021-08-02;Primo dose efficace;[0,19];4455;216;1;0;0;0;945779
2021-08-02;Primo dose efficace;"[80;+]";797;19;4;4;0;0;149285
2021-08-03;Primo dose efficace;"[80;+]";687;12;1;1;0;0;144586
2021-08-04;Primo dose efficace;"[80;+]";657;12;3;3;0;0;141768
2021-08-05;Primo dose efficace;[0,19];4091;146;1;1;0;0;892562
2021-08-06;Primo dose efficace;[60,79];1395;50;3;3;0;0;487804
2021-08-07;Primo dose efficace;[20,39];8619;286;1;1;0;0;1619068
2021-08-08;Primo dose efficace;[60,79];289;7;2;1;4;3;500116
2021-08-09;Primo dose efficace;"[80;+]";772;22;5;5;0;0;131619
2021-08-10;Primo dose efficace;[40,59];6935;227;5;4;3;3;1244393
2021-08-10;Primo dose efficace;"[80;+]";706;23;3;3;0;0;128508
2021-08-11;Primo dose efficace;[40,59];6462;249;8;7;1;1;1239731
2021-08-11;Primo dose efficace;[60,79];1511;40;3;3;4;4;447430
2021-08-12;Primo dose efficace;[0,19];4534;160;0;0;0;0;898906
2021-08-12;Primo dose efficace;[40,59];8454;254;7;7;1;0;1241300
2021-08-12;Primo dose efficace;[60,79];1569;67;5;5;1;1;435589
2021-08-13;Primo dose efficace;[0,19];6021;175;0;0;0;0;913373
2021-08-13;Primo dose efficace;[40,59];11072;285;3;3;0;0;1241649
2021-08-13;Primo dose efficace;"[80;+]";645;15;1;1;0;0;123487
2021-08-14;Primo dose efficace;"[80;+]";391;12;2;2;1;1;125190
2021-08-15;Primo dose efficace;[60,79];259;11;2;2;2;1;448094
2021-08-16;Primo dose efficace;[20,39];18546;701;3;1;0;0;1834414
2021-08-16;Primo dose efficace;[60,79];2397;80;4;3;2;2;432916
2021-08-16;Primo dose efficace;"[80;+]";897;25;3;2;0;0;124349
2021-08-17;Primo dose efficace;[0,19];3682;168;0;0;0;0;950627
2021-08-17;Primo dose efficace;[20,39];14237;565;3;3;4;3;1869389
2021-08-18;Primo dose efficace;"[80;+]";659;20;1;1;0;0;124076
2021-08-19;Primo dose efficace;[0,19];4403;146;1;0;0;0;1020182
2021-08-19;Primo dose efficace;[20,39];17554;476;0;0;0;0;2028600
2021-08-19;Primo dose efficace;[60,79];1652;53;9;8;0;0;439036
2021-08-20;Primo dose efficace;[40,59];10470;249;1;1;1;1;1414976
2021-08-20;Primo dose efficace;[60,79];2003;56;3;3;2;2;444982
2021-08-20;Primo dose efficace;"[80;+]";525;12;4;2;0;0;125466
2021-08-21;Primo dose efficace;[0,19];2916;102;1;1;0;0;1102837
2021-08-21;Primo dose efficace;[20,39];9607;251;2;2;1;1;2171651
2021-08-22;Primo dose efficace;[20,39];1770;60;3;3;0;0;2242512
2021-08-22;Primo dose efficace;"[80;+]";147;6;1;1;0;0;130040
2021-08-23;Primo dose efficace;[60,79];2389;68;10;7;3;3;457018
2021-08-23;Primo dose efficace;"[80;+]";892;27;3;3;0;0;128020
2021-08-24;Primo dose efficace;[20,39];10886;451;2;2;0;0;2170113
2021-08-24;Primo dose efficace;"[80;+]";749;17;6;4;0;0;127416
2021-08-25;Primo dose efficace;[60,79];1555;43;5;5;2;2;458314
2021-08-26;Primo dose efficace;[0,19];3315;140;1;0;0;0;1186946
2021-08-27;Primo dose efficace;[20,39];16231;388;4;4;0;0;2184041
2021-08-27;Primo dose efficace;"[80;+]";580;13;3;3;0;0;130197
2021-08-29;Primo dose efficace;[0,19];361;22;2;2;0;0;1273263
2021-05-31;Primo dose récente;[40,59];5383;291;7;7;2;2;2753082
2021-06-01;Primo dose récente;[0,19];469;27;0;0;0;0;160242
2021-06-01;Primo dose récente;"[80;+]";308;5;2;2;0;0;104116
2021-06-02;Primo dose récente;[0,19];582;16;1;1;0;0;172000
2021-06-02;Primo dose récente;[20,39];5838;157;4;4;0;0;1712069
2021-06-02;Primo dose récente;[40,59];4361;159;4;3;1;1;2763249
2021-06-02;Primo dose récente;"[80;+]";230;6;0;0;0;0;98712
2021-06-04;Primo dose récente;[40,59];5056;126;6;6;3;2;2762277
2021-06-04;Primo dose récente;[60,79];1222;32;2;2;0;0;833361
2021-06-04;Primo dose récente;"[80;+]";228;6;1;1;0;0;99483
2021-06-06;Primo dose récente;[0,19];93;1;0;0;0;0;189461
2021-06-07;Primo dose récente;[20,39];5617;145;1;1;0;0;1861743
2021-06-07;Primo dose récente;[40,59];4520;152;4;4;0;0;2551988
2021-06-08;Primo dose récente;[0,19];525;13;0;0;0;0;208925
2021-06-08;Primo dose récente;[40,59];3594;75;6;5;0;0;2530509
2021-06-09;Primo dose récente;[40,59];3522;71;5;3;0;0;2478093
2021-06-09;Primo dose récente;"[80;+]";229;1;1;1;0;0;88939
2021-06-10;Primo dose récente;[20,39];7455;90;0;0;0;0;2027031
2021-06-10;Primo dose récente;[40,59];3804;68;3;2;2;2;2425709
2021-06-11;Primo dose récente;[0,19];729;12;0;0;0;0;237029
2021-06-11;Primo dose récente;[20,39];7203;84;0;0;0;0;2063383
2021-06-11;Primo dose récente;[40,59];4127;56;3;2;1;1;2368367
2021-06-11;Primo dose récente;"[80;+]";183;2;1;1;0;0;84528
2021-06-12;Primo dose récente;[0,19];351;9;0;0;0;0;242160
2021-06-14;Primo dose récente;[0,19];512;10;0;0;0;0;246894
2021-06-14;Primo dose récente;[20,39];5787;82;0;0;0;0;2088405
2021-06-14;Primo dose récente;[40,59];3673;77;1;1;0;0;2189046
2021-06-14;Primo dose récente;[60,79];1112;10;4;3;2;2;582630
2021-06-15;Primo dose récente;[20,39];4599;65;1;1;0;0;2159072
2021-06-15;Primo dose récente;"[80;+]";217;0;0;0;0;0;83547
2021-06-17;Primo dose récente;[20,39];6974;50;2;2;0;0;2220034
2021-06-17;Primo dose récente;"[80;+]";156;2;0;0;0;0;82250
2021-06-18;Primo dose récente;[0,19];1277;12;0;0;0;0;281532
2021-06-19;Primo dose récente;[20,39];3162;20;1;0;0;0;2213126
2021-06-19;Primo dose récente;[40,59];1726;17;2;2;0;0;1985201
2021-06-20;Primo dose récente;[40,59];354;2;1;1;0;0;1894983
2021-06-20;Primo dose récente;"[80;+]";47;0;0;0;0;0;73411
2021-06-21;Primo dose récente;[0,19];814;12;0;0;0;0;290647
2021-06-21;Primo dose récente;[40,59];2755;25;0;0;0;0;1923783
2021-06-22;Primo dose récente;[40,59];1992;22;0;0;0;0;1868168
2021-06-22;Primo dose récente;"[80;+]";174;2;1;1;0;0;73626
2021-06-23;Primo dose récente;[20,39];3791;37;1;0;0;0;2125093
2021-06-23;Primo dose récente;"[80;+]";150;0;1;1;0;0;71198
2021-06-24;Primo dose récente;[40,59];2125;21;1;0;0;0;1719873
2021-06-24;Primo dose récente;[60,79];438;4;1;1;0;0;447843
2021-06-25;Primo dose récente;"[80;+]";113;0;0;0;0;0;65760
2021-06-26;Primo dose récente;[20,39];2225;22;0;0;0;0;1892470
2021-06-26;Primo dose récente;[60,79];334;0;0;0;1;0;395189
2021-06-27;Primo dose récente;[0,19];214;2;0;0;0;0;501112
2021-06-28;Primo dose récente;"[80;+]";167;1;0;0;0;0;60491
2021-06-29;Primo dose récente;[0,19];1472;14;0;0;0;0;558879
2021-06-29;Primo dose récente;[60,79];414;0;1;1;0;0;373471
2021-06-30;Primo dose récente;[20,39];3013;59;0;0;0;0;1620447
2021-06-30;Primo dose récente;[40,59];1643;14;0;0;0;0;1286363
2021-06-30;Primo dose récente;[60,79];392;7;0;0;1;1;352136
2021-07-01;Primo dose récente;[20,39];3576;52;0;0;0;0;1539519
2021-07-01;Primo dose récente;[40,59];1685;14;0;0;0;0;1213723
2021-07-02;Primo dose récente;[0,19];3189;26;0;0;0;0;652781
2021-07-02;Primo dose récente;[40,59];1938;17;1;1;0;0;1135983
2021-07-03;Primo dose récente;[20,39];1918;38;0;0;0;0;1331656
2021-07-03;Primo dose récente;[40,59];1123;8;0;0;1;1;1041755
2021-07-03;Primo dose récente;"[80;+]";80;0;0;0;0;0;47784
2021-07-04;Primo dose récente;[0,19];370;8;0;0;0;0;664539
2021-07-04;Primo dose récente;[20,39];462;8;0;0;0;0;1228722
2021-07-05;Primo dose récente;"[80;+]";141;0;0;0;0;0;46863
2021-07-06;Primo dose récente;[0,19];2039;35;0;0;0;0;712782
2021-07-06;Primo dose récente;[20,39];2440;68;1;0;0;0;1179730
2021-07-06;Primo dose récente;[40,59];1489;23;1;1;0;0;925999
2021-07-07;Primo dose récente;[60,79];380;3;0;0;0;0;267011
2021-07-08;Primo dose récente;[20,39];3651;80;1;1;0;0;1085464
2021-07-08;Primo dose récente;[60,79];326;3;0;0;0;0;263096
2021-07-09;Primo dose récente;[0,19];3518;35;0;0;0;0;700045
2021-07-09;Primo dose récente;"[80;+]";115;3;1;1;0;0;42504
2021-07-10;Primo dose récente;[0,19];1852;31;0;0;0;0;664184
2021-07-10;Primo dose récente;[60,79];273;4;1;1;1;1;240704
2021-07-11;Primo dose récente;[40,59];282;5;0;0;0;0;728938
2021-07-13;Primo dose récente;[20,39];3259;141;3;3;0;0;944880
2021-07-13;Primo dose récente;"[80;+]";158;3;0;0;0;0;41032
2021-07-14;Primo dose récente;[60,79];68;0;0;0;0;0;245839
2021-07-15;Primo dose récente;"[80;+]";113;2;0;0;0;0;41496
2021-07-16;Primo dose récente;[0,19];3194;99;0;0;0;0;613247
